time (s)	det(V)
6277.512019	1.625834	
6277.513798	1.625105	
6277.515275	1.625874	
6277.517015	1.625399	
6277.518518	1.625423	
6277.520246	1.604887	
6277.521762	1.514519	
6277.523271	1.403338	
6277.524842	1.278464	
6277.526333	1.179988	
6277.527958	1.054171	
6277.529477	0.955268	
6277.531092	0.859079	
6277.532569	0.690873	
6277.534182	0.574688	
6277.535668	0.462862	
6277.537286	0.323921	
6277.538784	0.233079	
6277.540394	0.119037	
6277.541911	0.006808	
6277.543483	-0.163558	
6277.545022	-0.244821	
6277.546544	-0.386284	
6277.548152	-0.528475	
6277.549726	-0.643343	
6277.551341	-0.769002	
6277.552892	-0.927936	
6277.554533	-1.033272	
6277.556022	-1.130101	
6277.557712	-1.247007	
6277.559196	-1.377605	
6277.560935	-1.495498	
6277.562408	-1.580491	
6277.564105	-1.627752	
6277.565588	-1.627917	
6277.567276	-1.627486	
6277.568756	-1.628005	
6277.570509	-1.627727	
6277.571993	-1.628042	
6277.573747	-1.627784	
6277.575249	-1.628017	
6277.577004	-1.627599	
6277.578508	-1.628086	
6277.580240	-1.627977	
6277.581756	-1.628086	
6277.583477	-1.627893	
6277.585019	-1.628102	
6277.586698	-1.627977	
6277.588255	-1.628195	
6277.589919	-1.628030	
6277.591491	-1.628183	
6277.593161	-1.627534	
6277.594746	-1.628166	
6277.596390	-1.627973	
6277.597979	-1.628114	
6277.599619	-1.627965	
6277.601243	-1.628138	
6277.602856	-1.628110	
6277.604513	-1.628118	
6277.606090	-1.627937	
6277.607767	-1.628098	
6277.609350	-1.628142	
6277.611005	-1.627953	
6277.612570	-1.628142	
6277.614257	-1.627760	
6277.615790	-1.628175	
6277.617492	-1.627917	
6277.619031	-1.628150	
6277.620761	-1.628171	
6277.622273	-1.628255	
6277.624007	-1.628058	
6277.625489	-1.628070	
6277.627249	-1.628050	
6277.628743	-1.628130	
6277.630540	-1.627961	
6277.632021	-1.628166	
6277.633808	-1.627973	
6277.635284	-1.628005	
6277.637052	-1.627973	
6277.638547	-1.628122	
6277.640279	-1.627804	
6277.641800	-1.628094	
6277.643537	-1.628005	
6277.645059	-1.628211	
6277.646774	-1.627566	
6277.648318	-1.628038	
6277.650013	-1.628038	
6277.651554	-1.628150	
6277.653244	-1.627917	
6277.654812	-1.628146	
6277.656462	-1.627856	
6277.658055	-1.628211	
6277.659704	-1.628086	
6277.661288	-1.628199	
6277.662913	-1.627909	
6277.664539	-1.628259	
6277.666148	-1.628074	
6277.667807	-1.628018	
6277.669379	-1.628046	
6277.671063	-1.628046	
6277.672637	-1.628021	
6277.674313	-1.627965	
6277.675882	-1.628066	
6277.677577	-1.627913	
6277.679136	-1.628235	
6277.680832	-1.628114	
6277.682363	-1.628239	
6277.684075	-1.628001	
6277.685550	-1.628110	
6277.687092	-1.628170	
6277.688589	-1.628150	
6277.690158	-1.628050	
6277.691698	-1.628150	
6277.693239	-1.627969	
6277.694856	-1.628175	
6277.696337	-1.628191	
6277.697953	-1.628029	
6277.699462	-1.628066	
6277.701105	-1.628142	
6277.702587	-1.627997	
6277.704240	-1.628046	
6277.705708	-1.628163	
6277.707339	-1.628219	
6277.708812	-1.628166	
6277.710449	-1.628062	
6277.711933	-1.628054	
6277.713597	-1.627772	
6277.715114	-1.628074	
6277.716751	-1.627913	
6277.718294	-1.628163	
6277.719888	-1.627913	
6277.721471	-1.628150	
6277.723051	-1.627925	
6277.724641	-1.628066	
6277.726180	-1.628050	
6277.727836	-1.627796	
6277.729322	-1.628009	
6277.731031	-1.627752	
6277.732617	-1.627872	
6277.734306	-1.627852	
6277.735867	-1.627957	
6277.737574	-1.627880	
6277.739107	-1.628050	
6277.740808	-1.627538	
6277.742347	-1.628086	
6277.744061	-1.627449	
6277.745570	-1.628094	
6277.747317	-1.627599	
6277.748796	-1.628062	
6277.750558	-1.627055	
6277.752035	-1.627856	
6277.753803	-1.627570	
6277.755283	-1.627840	
6277.757030	-1.627502	
6277.758524	-1.627369	
6277.760255	-1.624231	
6277.761783	-1.576088	
6277.763510	-1.577474	
6277.765034	-1.531374	
6277.766738	-1.491760	
6277.768271	-1.422883	
6277.769951	-1.456818	
6277.771501	-1.380699	
6277.773178	-1.358313	
6277.774766	-1.319782	
6277.776431	-1.320927	
6277.778020	-1.276236	
6277.779659	-1.266383	
6277.781254	-1.189487	
6277.782867	-1.230253	
6277.784492	-1.170642	
6277.786086	-1.179528	
6277.787758	-1.128365	
6277.789346	-1.115386	
6277.791002	-1.079078	
6277.792568	-1.091445	
6277.794237	-1.022247	
6277.795783	-1.022629	
6277.797467	-1.030154	
6277.799014	-1.021453	
6277.800743	-0.949959	
6277.802242	-0.929450	
6277.804013	-0.942623	
6277.805494	-0.906440	
6277.807263	-0.883157	
6277.808752	-0.882460	
6277.810523	-0.862471	
6277.812007	-0.813213	
6277.813788	-0.831913	
6277.815258	-0.802897	
6277.816996	-0.791364	
6277.818496	-0.778509	
6277.820224	-0.781079	
6277.821744	-0.743020	
6277.823476	-0.724485	
6277.825014	-0.685330	
6277.826730	-0.709452	
6277.828269	-0.650352	
6277.829782	-0.644011	
6277.831372	-0.681435	
6277.832872	-0.627737	
6277.834521	-0.588884	
6277.836014	-0.636958	
6277.837646	-0.585879	
6277.839140	-0.546522	
6277.840769	-0.534937	
6277.842258	-0.494863	
6277.843876	-0.484740	
6277.845390	-0.478689	
6277.847022	-0.463905	
6277.848521	-0.493268	
6277.850099	-0.464461	
6277.851632	-0.446608	
6277.853154	-0.426635	
6277.854756	-0.418269	
6277.856338	-0.390513	
6277.857940	-0.375448	
6277.859481	-0.389647	
6277.861133	-0.343612	
6277.862607	-0.347483	
6277.864327	-0.334975	
6277.865805	-0.346697	
6277.867535	-0.286688	
6277.869015	-0.348691	
6277.870719	-0.291272	
6277.872200	-0.262461	
6277.873887	-0.259839	
6277.875371	-0.263077	
6277.877085	-0.269100	
6277.878578	-0.235882	
6277.880333	-0.238734	
6277.881833	-0.254570	
6277.883565	-0.247379	
6277.885078	-0.228047	
6277.886764	-0.256463	
6277.888296	-0.226794	
6277.889981	-0.184235	
6277.891530	-0.183059	
6277.893216	-0.212993	
6277.894787	-0.126082	
6277.896446	-0.186910	
6277.898026	-0.190535	
6277.899674	-0.180352	
6277.901273	-0.164545	
6277.902916	-0.186870	
6277.904547	-0.169443	
6277.906134	-0.154514	
6277.907785	-0.123919	
6277.909375	-0.154091	
6277.911032	-0.095935	
6277.912600	-0.164521	
6277.914268	-0.116161	
6277.915834	-0.133841	
6277.917540	-0.116012	
6277.919080	-0.141805	
6277.920788	-0.081183	
6277.922321	-0.136979	
6277.924047	-0.102053	
6277.925560	-0.106879	
6277.927285	-0.115996	
6277.928764	-0.102340	
6277.930532	-0.101123	
6277.932017	-0.140536	
6277.933790	-0.116584	
6277.935268	-0.097038	
6277.937051	-0.099157	
6277.938542	-0.106013	
6277.940259	-0.098484	
6277.941769	-0.088861	
6277.943478	-0.112253	
6277.945007	-0.078266	
6277.946740	-0.098243	
6277.948277	-0.090303	
