time (s)	det(V)
4343.778554	0.039204	
4343.780038	0.046584	
4343.781630	0.057109	
4343.783127	0.052002	
4343.784789	0.074032	
4343.786292	0.079414	
4343.787935	0.056090	
4343.789426	0.065617	
4343.791058	0.068095	
4343.792549	0.062105	
4343.794185	0.101228	
4343.795678	0.077988	
4343.797310	0.062725	
4343.798785	0.100192	
4343.800399	0.061194	
4343.801904	0.046306	
4343.803466	0.097220	
4343.805009	0.077980	
4343.806618	0.065533	
4343.808190	0.100043	
4343.809758	0.112241	
4343.811361	0.130360	
4343.812900	0.107226	
4343.814571	0.117349	
4343.816044	0.107870	
4343.817756	0.129341	
4343.819231	0.138216	
4343.820940	0.138345	
4343.822414	0.115005	
4343.824110	0.115826	
4343.825595	0.128983	
4343.827356	0.126525	
4343.828843	0.129067	
4343.830596	0.135098	
4343.832076	0.162051	
4343.833841	0.120773	
4343.835320	0.181158	
4343.837049	0.155864	
4343.838558	0.186270	
4343.840287	0.134788	
4343.841820	0.170438	
4343.843525	0.182507	
4343.845065	0.197356	
4343.846750	0.180018	
4343.848305	0.206435	
4343.849974	0.187474	
4343.851535	0.173182	
4343.853209	0.191172	
4343.854785	0.238078	
4343.856427	0.209904	
4343.858039	0.222424	
4343.859646	0.220341	
4343.861263	0.291828	
4343.862870	0.219584	
4343.864505	0.287392	
4343.866099	0.247959	
4343.867764	0.283566	
4343.869330	0.263686	
4343.871035	0.341948	
4343.872596	0.310636	
4343.874296	0.309592	
4343.875841	0.326882	
4343.877523	0.391178	
4343.879048	0.343966	
4343.880771	0.360688	
4343.882274	0.379174	
4343.884050	0.372144	
4343.885534	0.392447	
4343.887302	0.447724	
4343.888782	0.442040	
4343.890531	0.444134	
4343.892010	0.441601	
4343.893765	0.449746	
4343.895274	0.486089	
4343.896998	0.477159	
4343.898514	0.527581	
4343.900256	0.511391	
4343.901777	0.569580	
4343.903485	0.583575	
4343.905019	0.632889	
4343.906704	0.610943	
4343.908265	0.708235	
4343.909917	0.677829	
4343.911495	0.713565	
4343.913155	0.698986	
4343.914733	0.781132	
4343.916370	0.775637	
4343.917971	0.823562	
4343.919583	0.848457	
4343.921216	0.937439	
4343.922805	0.917325	
4343.924471	0.954003	
4343.926049	0.982568	
4343.927732	1.062655	
4343.929306	1.045736	
4343.930991	1.158303	
4343.932555	1.145892	
4343.934272	1.198478	
4343.935805	1.196113	
4343.937524	1.256884	
4343.939001	1.362519	
4343.940572	1.396401	
4343.942061	1.428007	
4343.943670	1.463976	
4343.945186	1.493536	
4343.946735	1.541123	
4343.948337	1.599884	
4343.949827	1.622958	
4343.951466	1.622708	
4343.952963	1.625746	
4343.954569	1.625403	
4343.956085	1.625903	
4343.957726	1.625588	
4343.959199	1.625955	
4343.960826	1.625633	
4343.962304	1.625915	
4343.963942	1.625846	
4343.965419	1.625999	
4343.967115	1.625822	
4343.968608	1.625927	
4343.970273	1.625911	
4343.971806	1.625979	
4343.973421	1.625975	
4343.974979	1.625935	
4343.976578	1.625870	
4343.978156	1.625939	
4343.979731	1.625898	
4343.981323	1.626007	
4343.982854	1.626064	
4343.984517	1.626023	
4343.986122	1.626172	
4343.987806	1.625939	
4343.989378	1.626040	
4343.991064	1.625939	
4343.992634	1.626027	
4343.994325	1.625874	
4343.995886	1.626003	
4343.997564	1.626040	
4343.999110	1.625951	
4344.000813	1.625890	
4344.002313	1.626023	
4344.004061	1.625943	
4344.005539	1.626072	
4344.007322	1.626136	
4344.008809	1.625987	
4344.010583	1.626052	
4344.012063	1.625963	
4344.013834	1.626052	
4344.015325	1.625959	
4344.017078	1.626011	
4344.018571	1.626024	
4344.020312	1.626084	
4344.021822	1.625971	
4344.023508	1.625983	
4344.025047	1.626019	
4344.026739	1.625915	
4344.028289	1.626080	
4344.029990	1.625983	
4344.031548	1.625975	
4344.033213	1.626116	
4344.034784	1.626015	
4344.036438	1.626040	
4344.038040	1.625987	
4344.039662	1.626052	
4344.041291	1.625947	
4344.042898	1.626112	
4344.044540	1.625931	
4344.046154	1.625995	
4344.047796	1.625878	
4344.049378	1.626088	
4344.051041	1.626205	
4344.052608	1.626032	
4344.054299	1.626068	
4344.055838	1.626064	
4344.057517	1.626072	
4344.059021	1.626044	
4344.060768	1.625959	
4344.062260	1.625963	
4344.064005	1.626064	
4344.065495	1.626035	
4344.067264	1.626047	
4344.068742	1.626177	
4344.070538	1.625991	
4344.072011	1.625935	
4344.073771	1.626024	
4344.075266	1.626027	
4344.077015	1.626080	
4344.078523	1.626144	
4344.080267	1.626156	
4344.081801	1.626092	
4344.083505	1.626056	
4344.085049	1.626040	
4344.086727	1.626100	
4344.088266	1.625979	
4344.089961	1.626047	
4344.091560	1.625927	
4344.093041	1.625923	
4344.094675	1.625999	
4344.096198	1.625919	
4344.097829	1.625963	
4344.099306	1.626027	
4344.100955	1.626072	
4344.102427	1.625959	
4344.104064	1.625931	
4344.105541	1.626128	
4344.107180	1.625987	
4344.108677	1.625975	
4344.110257	1.626056	
4344.111815	1.625995	
4344.113359	1.625967	
4344.114925	1.625975	
4344.116513	1.625999	
4344.118112	1.625911	
4344.119666	1.625568	
4344.121293	1.625834	
4344.122825	1.625919	
4344.124484	1.625101	
4344.125971	1.593491	
4344.127666	1.387752	
4344.129149	1.187077	
4344.130882	1.033844	
4344.132360	0.864522	
4344.134077	0.678623	
4344.135565	0.587204	
4344.137270	0.421209	
4344.138754	0.213678	
4344.140533	0.048356	
4344.142008	-0.097574	
4344.143760	-0.303151	
4344.145259	-0.449113	
4344.147032	-0.629663	
4344.148533	-0.772515	
4344.150260	-0.971313	
4344.151779	-1.123265	
4344.153495	-1.283524	
4344.155029	-1.380421	
4344.156731	-1.588818	
4344.158281	-1.627901	
4344.159944	-1.627756	
4344.161503	-1.628046	
4344.163175	-1.627647	
4344.164747	-1.628066	
4344.166389	-1.627808	
4344.167995	-1.628090	
4344.169613	-1.628163	
4344.171230	-1.628013	
4344.172834	-1.628102	
4344.174510	-1.627832	
4344.176104	-1.628110	
4344.177752	-1.628098	
4344.179342	-1.628001	
4344.181001	-1.627937	
4344.182562	-1.628070	
4344.184265	-1.627848	
4344.185792	-1.628223	
4344.187499	-1.627985	
4344.189007	-1.628191	
4344.190762	-1.627723	
4344.192253	-1.627941	
4344.193999	-1.627977	
4344.195491	-1.628082	
4344.197278	-1.627880	
4344.198756	-1.628175	
4344.200520	-1.627901	
4344.201999	-1.628126	
4344.203753	-1.628118	
4344.205242	-1.628195	
4344.206993	-1.628001	
4344.208506	-1.628110	
4344.210232	-1.628170	
4344.211756	-1.628098	
4344.213482	-1.627977	
4344.215016	-1.628110	
4344.216691	-1.628142	
4344.218229	-1.628259	
4344.219905	-1.627981	
4344.221478	-1.628315	
4344.223114	-1.628017	
4344.224698	-1.628328	
4344.226322	-1.628029	
4344.227940	-1.628320	
4344.229558	-1.628114	
4344.231181	-1.628259	
4344.232783	-1.628199	
4344.234427	-1.628231	
4344.236015	-1.628279	
4344.237691	-1.628026	
4344.239252	-1.628219	
4344.240961	-1.628142	
4344.242439	-1.628223	
4344.244001	-1.628255	
4344.245490	-1.628187	
4344.247028	-1.628255	
4344.248546	-1.628231	
4344.250114	-1.628163	
4344.251681	-1.628110	
4344.253184	-1.628183	
4344.254812	-1.628150	
4344.256300	-1.628219	
4344.257913	-1.628235	
4344.259434	-1.628207	
4344.261055	-1.628243	
4344.262529	-1.628231	
4344.264162	-1.628219	
4344.265636	-1.628118	
4344.267259	-1.627985	
4344.268742	-1.628114	
4344.270424	-1.627985	
4344.271919	-1.628146	
4344.273575	-1.627917	
4344.275103	-1.628118	
4344.276716	-1.627735	
4344.278273	-1.628223	
4344.279865	-1.628066	
4344.281451	-1.628243	
4344.283044	-1.627917	
4344.284668	-1.628170	
4344.286205	-1.628118	
4344.287840	-1.628098	
4344.289441	-1.628082	
4344.291099	-1.627933	
4344.292668	-1.628062	
4344.294346	-1.627466	
4344.295901	-1.628187	
4344.297590	-1.627909	
4344.299132	-1.627897	
4344.300847	-1.627885	
4344.302395	-1.628082	
4344.304124	-1.627804	
4344.305623	-1.628001	
4344.307380	-1.627977	
4344.308859	-1.627973	
4344.310641	-1.627913	
4344.312128	-1.628001	
4344.313895	-1.627599	
4344.315375	-1.628026	
4344.317150	-1.627872	
4344.318630	-1.628025	
4344.320383	-1.627554	
4344.321884	-1.627901	
4344.323625	-1.627707	
4344.325136	-1.627909	
4344.326843	-1.627671	
4344.328376	-1.627824	
4344.330091	-1.624593	
4344.331647	-1.627377	
4344.333344	-1.627425	
4344.334893	-1.621596	
4344.336561	-1.558988	
4344.338134	-1.492420	
4344.339787	-1.448044	
4344.341371	-1.397646	
4344.343021	-1.369093	
4344.344644	-1.325664	
4344.346244	-1.298831	
4344.347876	-1.222962	
4344.349479	-1.224170	
4344.351096	-1.164148	
4344.352683	-1.133368	
4344.354344	-1.103965	
4344.355922	-1.054481	
4344.357613	-1.003394	
4344.359160	-1.005602	
4344.360860	-0.965024	
4344.362407	-0.940955	
4344.364108	-0.876752	
4344.365612	-0.841387	
4344.367358	-0.831083	
4344.368848	-0.784971	
4344.370635	-0.729472	
4344.372112	-0.718407	
4344.373902	-0.709351	
4344.375384	-0.665821	
4344.377165	-0.660999	
4344.378651	-0.641977	
4344.380388	-0.614581	
4344.381883	-0.574447	
4344.383632	-0.569286	
4344.385145	-0.537579	
4344.386879	-0.521736	
4344.388398	-0.464179	
4344.390092	-0.487032	
4344.391632	-0.404895	
4344.393334	-0.432485	
4344.394878	-0.404947	
4344.396560	-0.414011	
4344.398146	-0.377168	
4344.399797	-0.387585	
4344.401410	-0.355999	
4344.402906	-0.355793	
